Country_or_Region,Year,Indicator,Value,Unit,Urbanization,Income_Quintile
Afghanistan,2007,Financial Hardship,23.87,Percentage of population,Total,All
Afghanistan,2007,Financial Hardship,26.42,Percentage of population,Total,All
Afghanistan,2007,Financial Hardship,9.33,Percentage of population,Total,All
Afghanistan,2007,UHC Service Coverage Index,36,0-100 scale,Total,All
Afghanistan,2007,UHC Service Coverage Index,46,0-100 scale,Total,All
Afghanistan,2007,UHC Service Coverage Index,24,0-100 scale,Total,All
Afghanistan,2007,UHC Service Coverage Index,31,0-100 scale,Total,All
Afghanistan,2007,UHC Service Coverage Index,48,0-100 scale,Total,All
Afghanistan,2008,UHC Service Coverage Index,36,0-100 scale,Total,All
Afghanistan,2008,UHC Service Coverage Index,46,0-100 scale,Total,All
Afghanistan,2008,UHC Service Coverage Index,24,0-100 scale,Total,All
Afghanistan,2008,UHC Service Coverage Index,32,0-100 scale,Total,All
Afghanistan,2008,UHC Service Coverage Index,49,0-100 scale,Total,All
Afghanistan,2009,UHC Service Coverage Index,37,0-100 scale,Total,All
Afghanistan,2009,UHC Service Coverage Index,44,0-100 scale,Total,All
Afghanistan,2009,UHC Service Coverage Index,25,0-100 scale,Total,All
Afghanistan,2009,UHC Service Coverage Index,34,0-100 scale,Total,All
Afghanistan,2009,UHC Service Coverage Index,50,0-100 scale,Total,All
Afghanistan,2010,UHC Service Coverage Index,38,0-100 scale,Total,All
Afghanistan,2010,UHC Service Coverage Index,46,0-100 scale,Total,All
Afghanistan,2010,UHC Service Coverage Index,24,0-100 scale,Total,All
Afghanistan,2010,UHC Service Coverage Index,35,0-100 scale,Total,All
Afghanistan,2010,UHC Service Coverage Index,51,0-100 scale,Total,All
Afghanistan,2011,UHC Service Coverage Index,36,0-100 scale,Total,All
Afghanistan,2011,UHC Service Coverage Index,48,0-100 scale,Total,All
Afghanistan,2011,UHC Service Coverage Index,19,0-100 scale,Total,All
Afghanistan,2011,UHC Service Coverage Index,36,0-100 scale,Total,All
Afghanistan,2011,UHC Service Coverage Index,52,0-100 scale,Total,All
Afghanistan,2012,UHC Service Coverage Index,37,0-100 scale,Total,All
Afghanistan,2012,UHC Service Coverage Index,49,0-100 scale,Total,All
Afghanistan,2012,UHC Service Coverage Index,19,0-100 scale,Total,All
Afghanistan,2012,UHC Service Coverage Index,38,0-100 scale,Total,All
Afghanistan,2012,UHC Service Coverage Index,52,0-100 scale,Total,All
Afghanistan,2013,Catastrophic Spending (More than 10% of household budget),15.19,Percentage of population,Total,All
Afghanistan,2013,Catastrophic Spending (More than 25% of household budget),2.66,Percentage of population,Total,All
Afghanistan,2013,Financial Hardship,91.13,Percentage of population,Total,Q1 (Poorest)
Afghanistan,2013,Financial Hardship,92.47,Percentage of population,Total,Q2
Afghanistan,2013,Financial Hardship,35.73,Percentage of population,Total,Q3
Afghanistan,2013,Financial Hardship,9.52,Percentage of population,Total,Q4
Afghanistan,2013,Financial Hardship,5.3,Percentage of population,Total,Q5 (Richest)
Afghanistan,2013,Financial Hardship,46.84,Percentage of population,Total,All
Afghanistan,2013,Financial Hardship,54.74,Percentage of population,Rural area,All
Afghanistan,2013,Financial Hardship,21.93,Percentage of population,Urban area,All
Afghanistan,2013,Financial Hardship,17.26,Percentage of population,Total,All
Afghanistan,2013,Financial Hardship,46.99,Percentage of population,Total,All
Afghanistan,2013,Financial Hardship,47.93,Percentage of population,Total,All
Afghanistan,2013,Financial Hardship,25.23,Percentage of population,Total,All
Afghanistan,2013,Financial Hardship,43.04,Percentage of population,Total,All
Afghanistan,2013,UHC Service Coverage Index,38,0-100 scale,Total,All
Afghanistan,2013,UHC Service Coverage Index,48,0-100 scale,Total,All
Afghanistan,2013,UHC Service Coverage Index,20,0-100 scale,Total,All
Afghanistan,2013,UHC Service Coverage Index,39,0-100 scale,Total,All
Afghanistan,2013,UHC Service Coverage Index,53,0-100 scale,Total,All
Afghanistan,2014,UHC Service Coverage Index,38,0-100 scale,Total,All
Afghanistan,2014,UHC Service Coverage Index,47,0-100 scale,Total,All
Afghanistan,2014,UHC Service Coverage Index,21,0-100 scale,Total,All
Afghanistan,2014,UHC Service Coverage Index,41,0-100 scale,Total,All
Afghanistan,2014,UHC Service Coverage Index,54,0-100 scale,Total,All
Afghanistan,2015,UHC Service Coverage Index,38,0-100 scale,Total,All
Afghanistan,2015,UHC Service Coverage Index,49,0-100 scale,Total,All
Afghanistan,2015,UHC Service Coverage Index,19,0-100 scale,Total,All
Afghanistan,2015,UHC Service Coverage Index,42,0-100 scale,Total,All
Afghanistan,2015,UHC Service Coverage Index,55,0-100 scale,Total,All
Afghanistan,2016,Financial Hardship,46.24,Percentage of population,Total,Q1 (Poorest)
Afghanistan,2016,Financial Hardship,57.72,Percentage of population,Total,Q2
Afghanistan,2016,Financial Hardship,33.44,Percentage of population,Total,Q3
Afghanistan,2016,Financial Hardship,15.15,Percentage of population,Total,Q4
Afghanistan,2016,Financial Hardship,8.95,Percentage of population,Total,Q5 (Richest)
Afghanistan,2016,Financial Hardship,32.3,Percentage of population,Total,All
Afghanistan,2016,Financial Hardship,37.59,Percentage of population,Rural area,All
Afghanistan,2016,Financial Hardship,15.39,Percentage of population,Urban area,All
Afghanistan,2016,Financial Hardship,10.88,Percentage of population,Total,All
Afghanistan,2016,Financial Hardship,31.2,Percentage of population,Total,All
Afghanistan,2016,Financial Hardship,35.88,Percentage of population,Total,All
Afghanistan,2016,Financial Hardship,15.21,Percentage of population,Total,All
Afghanistan,2016,UHC Service Coverage Index,39,0-100 scale,Total,All
Afghanistan,2016,UHC Service Coverage Index,51,0-100 scale,Total,All
Afghanistan,2016,UHC Service Coverage Index,20,0-100 scale,Total,All
Afghanistan,2016,UHC Service Coverage Index,43,0-100 scale,Total,All
Afghanistan,2016,UHC Service Coverage Index,55,0-100 scale,Total,All
Afghanistan,2017,UHC Service Coverage Index,40,0-100 scale,Total,All
Afghanistan,2017,UHC Service Coverage Index,52,0-100 scale,Total,All
Afghanistan,2017,UHC Service Coverage Index,19,0-100 scale,Total,All
Afghanistan,2017,UHC Service Coverage Index,45,0-100 scale,Total,All
Afghanistan,2017,UHC Service Coverage Index,56,0-100 scale,Total,All
Afghanistan,2018,UHC Service Coverage Index,42,0-100 scale,Total,All
Afghanistan,2018,UHC Service Coverage Index,54,0-100 scale,Total,All
Afghanistan,2018,UHC Service Coverage Index,21,0-100 scale,Total,All
Afghanistan,2018,UHC Service Coverage Index,46,0-100 scale,Total,All
Afghanistan,2018,UHC Service Coverage Index,56,0-100 scale,Total,All
Afghanistan,2019,UHC Service Coverage Index,42,0-100 scale,Total,All
Afghanistan,2019,UHC Service Coverage Index,53,0-100 scale,Total,All
Afghanistan,2019,UHC Service Coverage Index,22,0-100 scale,Total,All
Afghanistan,2019,UHC Service Coverage Index,48,0-100 scale,Total,All
Afghanistan,2019,UHC Service Coverage Index,57,0-100 scale,Total,All
Afghanistan,2020,Financial Hardship,68.27,Percentage of population,Total,Q1 (Poorest)
Afghanistan,2020,Financial Hardship,58.8,Percentage of population,Total,Q2
Afghanistan,2020,Financial Hardship,27.98,Percentage of population,Total,Q3
Afghanistan,2020,Financial Hardship,13.36,Percentage of population,Total,Q4
Afghanistan,2020,Financial Hardship,4.41,Percentage of population,Total,Q5 (Richest)
Afghanistan,2020,Financial Hardship,34.56,Percentage of population,Total,All
Afghanistan,2020,Financial Hardship,39.84,Percentage of population,Rural area,All
Afghanistan,2020,Financial Hardship,17.99,Percentage of population,Urban area,All
Afghanistan,2020,Financial Hardship,11.11,Percentage of population,Total,All
Afghanistan,2020,Financial Hardship,33.05,Percentage of population,Total,All
Afghanistan,2020,Financial Hardship,39.83,Percentage of population,Total,All
Afghanistan,2020,Financial Hardship,25.34,Percentage of population,Total,All
Afghanistan,2020,Financial Hardship,27.19,Percentage of population,Total,All
Afghanistan,2020,UHC Service Coverage Index,42,0-100 scale,Total,All
Afghanistan,2020,UHC Service Coverage Index,51,0-100 scale,Total,All
Afghanistan,2020,UHC Service Coverage Index,22,0-100 scale,Total,All
Afghanistan,2020,UHC Service Coverage Index,49,0-100 scale,Total,All
Afghanistan,2020,UHC Service Coverage Index,57,0-100 scale,Total,All
Afghanistan,2021,UHC Service Coverage Index,42,0-100 scale,Total,All
Afghanistan,2021,UHC Service Coverage Index,49,0-100 scale,Total,All
Afghanistan,2021,UHC Service Coverage Index,22,0-100 scale,Total,All
Afghanistan,2021,UHC Service Coverage Index,50,0-100 scale,Total,All
Afghanistan,2021,UHC Service Coverage Index,57,0-100 scale,Total,All
Afghanistan,2022,UHC Service Coverage Index,42,0-100 scale,Total,All
Afghanistan,2022,UHC Service Coverage Index,48,0-100 scale,Total,All
Afghanistan,2022,UHC Service Coverage Index,22,0-100 scale,Total,All
Afghanistan,2022,UHC Service Coverage Index,52,0-100 scale,Total,All
Afghanistan,2022,UHC Service Coverage Index,58,0-100 scale,Total,All
Afghanistan,2023,UHC Service Coverage Index,42,0-100 scale,Total,All
Afghanistan,2023,UHC Service Coverage Index,46,0-100 scale,Total,All
Afghanistan,2023,UHC Service Coverage Index,22,0-100 scale,Total,All
Afghanistan,2023,UHC Service Coverage Index,53,0-100 scale,Total,All
Afghanistan,2023,UHC Service Coverage Index,58,0-100 scale,Total,All
Albania,1996,Catastrophic Spending (More than 10% of household budget),7.48,Percentage of population,Total,All
Albania,1996,Catastrophic Spending (More than 25% of household budget),3.02,Percentage of population,Total,All
Albania,1996,Financial Hardship,36.47,Percentage of population,Total,Q1 (Poorest)
Albania,1996,Financial Hardship,14.01,Percentage of population,Total,Q2
Albania,1996,Financial Hardship,5.95,Percentage of population,Total,Q3
Albania,1996,Financial Hardship,4,Percentage of population,Total,Q4
Albania,1996,Financial Hardship,6.84,Percentage of population,Total,Q5 (Richest)
Albania,1996,Financial Hardship,13.48,Percentage of population,Total,All
Albania,1996,Financial Hardship,16.56,Percentage of population,Rural area,All
Albania,1996,Financial Hardship,7.68,Percentage of population,Urban area,All
Albania,1996,Financial Hardship (Impoverishing),8.85,Percentage of population,Total,All
Albania,1996,Financial Hardship (Large Non-Impoverishing),4.62,Percentage of population,Total,All
Albania,1996,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,1.68,Percentage of population,Total,All
Albania,1996,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",7.17,Percentage of population,Total,All
Albania,2000,UHC Service Coverage Index,56,0-100 scale,Total,All
Albania,2000,UHC Service Coverage Index,34,0-100 scale,Total,All
Albania,2000,UHC Service Coverage Index,74,0-100 scale,Total,All
Albania,2000,UHC Service Coverage Index,89,0-100 scale,Total,All
Albania,2000,UHC Service Coverage Index,42,0-100 scale,Total,All
Albania,2001,UHC Service Coverage Index,55,0-100 scale,Total,All
Albania,2001,UHC Service Coverage Index,33,0-100 scale,Total,All
Albania,2001,UHC Service Coverage Index,73,0-100 scale,Total,All
Albania,2001,UHC Service Coverage Index,90,0-100 scale,Total,All
Albania,2001,UHC Service Coverage Index,43,0-100 scale,Total,All
Albania,2002,Catastrophic Spending (More than 10% of household budget),23.37,Percentage of population,Total,All
Albania,2002,Catastrophic Spending (More than 25% of household budget),5.64,Percentage of population,Total,All
Albania,2002,Financial Hardship,81.99,Percentage of population,Total,Q1 (Poorest)
Albania,2002,Financial Hardship,34.7,Percentage of population,Total,Q2
Albania,2002,Financial Hardship,17.16,Percentage of population,Total,Q3
Albania,2002,Financial Hardship,9.5,Percentage of population,Total,Q4
Albania,2002,Financial Hardship,7.59,Percentage of population,Total,Q5 (Richest)
Albania,2002,Financial Hardship,30.21,Percentage of population,Total,All
Albania,2002,Financial Hardship,34.78,Percentage of population,Rural area,All
Albania,2002,Financial Hardship,23.81,Percentage of population,Urban area,All
Albania,2002,Financial Hardship,9.96,Percentage of population,Total,All
Albania,2002,Financial Hardship,29.42,Percentage of population,Total,All
Albania,2002,Financial Hardship,38.29,Percentage of population,Total,All
Albania,2002,Financial Hardship,18.46,Percentage of population,Total,All
Albania,2002,Financial Hardship,13.25,Percentage of population,Total,All
Albania,2002,Financial Hardship (Impoverishing),19.52,Percentage of population,Total,All
Albania,2002,Financial Hardship (Large Non-Impoverishing),10.69,Percentage of population,Total,All
Albania,2002,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,4.69,Percentage of population,Total,All
Albania,2002,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",14.83,Percentage of population,Total,All
Albania,2002,UHC Service Coverage Index,55,0-100 scale,Total,All
Albania,2002,UHC Service Coverage Index,32,0-100 scale,Total,All
Albania,2002,UHC Service Coverage Index,72,0-100 scale,Total,All
Albania,2002,UHC Service Coverage Index,91,0-100 scale,Total,All
Albania,2002,UHC Service Coverage Index,44,0-100 scale,Total,All
Albania,2003,UHC Service Coverage Index,55,0-100 scale,Total,All
Albania,2003,UHC Service Coverage Index,31,0-100 scale,Total,All
Albania,2003,UHC Service Coverage Index,72,0-100 scale,Total,All
Albania,2003,UHC Service Coverage Index,91,0-100 scale,Total,All
Albania,2003,UHC Service Coverage Index,45,0-100 scale,Total,All
Albania,2004,UHC Service Coverage Index,55,0-100 scale,Total,All
Albania,2004,UHC Service Coverage Index,30,0-100 scale,Total,All
Albania,2004,UHC Service Coverage Index,72,0-100 scale,Total,All
Albania,2004,UHC Service Coverage Index,92,0-100 scale,Total,All
Albania,2004,UHC Service Coverage Index,46,0-100 scale,Total,All
Albania,2005,Catastrophic Spending (More than 10% of household budget),19.51,Percentage of population,Total,All
Albania,2005,Catastrophic Spending (More than 25% of household budget),4.5,Percentage of population,Total,All
Albania,2005,Financial Hardship,77.94,Percentage of population,Total,Q1 (Poorest)
Albania,2005,Financial Hardship,34.79,Percentage of population,Total,Q2
Albania,2005,Financial Hardship,10.62,Percentage of population,Total,Q3
Albania,2005,Financial Hardship,5.64,Percentage of population,Total,Q4
Albania,2005,Financial Hardship,4.38,Percentage of population,Total,Q5 (Richest)
Albania,2005,Financial Hardship,26.69,Percentage of population,Total,All
Albania,2005,Financial Hardship,33.72,Percentage of population,Rural area,All
Albania,2005,Financial Hardship,17.72,Percentage of population,Urban area,All
Albania,2005,Financial Hardship,8.19,Percentage of population,Total,All
Albania,2005,Financial Hardship,25.42,Percentage of population,Total,All
Albania,2005,Financial Hardship,36.82,Percentage of population,Total,All
Albania,2005,Financial Hardship,14,Percentage of population,Total,All
Albania,2005,Financial Hardship,13.37,Percentage of population,Total,All
Albania,2005,Financial Hardship (Impoverishing),18.65,Percentage of population,Total,All
Albania,2005,Financial Hardship (Large Non-Impoverishing),8.04,Percentage of population,Total,All
Albania,2005,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,4.19,Percentage of population,Total,All
Albania,2005,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",14.46,Percentage of population,Total,All
Albania,2005,UHC Service Coverage Index,55,0-100 scale,Total,All
Albania,2005,UHC Service Coverage Index,29,0-100 scale,Total,All
Albania,2005,UHC Service Coverage Index,72,0-100 scale,Total,All
Albania,2005,UHC Service Coverage Index,92,0-100 scale,Total,All
Albania,2005,UHC Service Coverage Index,46,0-100 scale,Total,All
Albania,2006,UHC Service Coverage Index,56,0-100 scale,Total,All
Albania,2006,UHC Service Coverage Index,30,0-100 scale,Total,All
Albania,2006,UHC Service Coverage Index,74,0-100 scale,Total,All
Albania,2006,UHC Service Coverage Index,93,0-100 scale,Total,All
Albania,2006,UHC Service Coverage Index,47,0-100 scale,Total,All
Albania,2007,UHC Service Coverage Index,56,0-100 scale,Total,All
Albania,2007,UHC Service Coverage Index,30,0-100 scale,Total,All
Albania,2007,UHC Service Coverage Index,75,0-100 scale,Total,All
Albania,2007,UHC Service Coverage Index,93,0-100 scale,Total,All
Albania,2007,UHC Service Coverage Index,48,0-100 scale,Total,All
Albania,2008,Catastrophic Spending (More than 10% of household budget),13.91,Percentage of population,Total,All
Albania,2008,Catastrophic Spending (More than 25% of household budget),4.08,Percentage of population,Total,All
Albania,2008,Financial Hardship,60.05,Percentage of population,Total,Q1 (Poorest)
Albania,2008,Financial Hardship,16.37,Percentage of population,Total,Q2
Albania,2008,Financial Hardship,6.92,Percentage of population,Total,Q3
Albania,2008,Financial Hardship,5.46,Percentage of population,Total,Q4
Albania,2008,Financial Hardship,6.18,Percentage of population,Total,Q5 (Richest)
Albania,2008,Financial Hardship,19.01,Percentage of population,Total,All
Albania,2008,Financial Hardship,22.48,Percentage of population,Rural area,All
Albania,2008,Financial Hardship,15.46,Percentage of population,Urban area,All
Albania,2008,Financial Hardship,6.1,Percentage of population,Total,All
Albania,2008,Financial Hardship,18.45,Percentage of population,Total,All
Albania,2008,Financial Hardship,26.19,Percentage of population,Total,All
Albania,2008,Financial Hardship,15.48,Percentage of population,Total,All
Albania,2008,Financial Hardship,15.01,Percentage of population,Total,All
Albania,2008,Financial Hardship (Impoverishing),12.3,Percentage of population,Total,All
Albania,2008,Financial Hardship (Large Non-Impoverishing),6.71,Percentage of population,Total,All
Albania,2008,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,2.31,Percentage of population,Total,All
Albania,2008,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",9.99,Percentage of population,Total,All
Albania,2008,UHC Service Coverage Index,56,0-100 scale,Total,All
Albania,2008,UHC Service Coverage Index,29,0-100 scale,Total,All
Albania,2008,UHC Service Coverage Index,75,0-100 scale,Total,All
Albania,2008,UHC Service Coverage Index,94,0-100 scale,Total,All
Albania,2008,UHC Service Coverage Index,49,0-100 scale,Total,All
Albania,2009,UHC Service Coverage Index,57,0-100 scale,Total,All
Albania,2009,UHC Service Coverage Index,30,0-100 scale,Total,All
Albania,2009,UHC Service Coverage Index,75,0-100 scale,Total,All
Albania,2009,UHC Service Coverage Index,95,0-100 scale,Total,All
Albania,2009,UHC Service Coverage Index,49,0-100 scale,Total,All
Albania,2010,UHC Service Coverage Index,58,0-100 scale,Total,All
Albania,2010,UHC Service Coverage Index,31,0-100 scale,Total,All
Albania,2010,UHC Service Coverage Index,74,0-100 scale,Total,All
Albania,2010,UHC Service Coverage Index,95,0-100 scale,Total,All
Albania,2010,UHC Service Coverage Index,50,0-100 scale,Total,All
Albania,2011,UHC Service Coverage Index,59,0-100 scale,Total,All
Albania,2011,UHC Service Coverage Index,33,0-100 scale,Total,All
Albania,2011,UHC Service Coverage Index,75,0-100 scale,Total,All
Albania,2011,UHC Service Coverage Index,96,0-100 scale,Total,All
Albania,2011,UHC Service Coverage Index,51,0-100 scale,Total,All
Albania,2012,Catastrophic Spending (More than 10% of household budget),16.72,Percentage of population,Total,All
Albania,2012,Catastrophic Spending (More than 25% of household budget),4.95,Percentage of population,Total,All
Albania,2012,Financial Hardship,43.03,Percentage of population,Total,Q1 (Poorest)
Albania,2012,Financial Hardship,18.7,Percentage of population,Total,Q2
Albania,2012,Financial Hardship,9.38,Percentage of population,Total,Q3
Albania,2012,Financial Hardship,7.98,Percentage of population,Total,Q4
Albania,2012,Financial Hardship,9.58,Percentage of population,Total,Q5 (Richest)
Albania,2012,Financial Hardship,17.74,Percentage of population,Total,All
Albania,2012,Financial Hardship,20.28,Percentage of population,Rural area,All
Albania,2012,Financial Hardship,15.58,Percentage of population,Urban area,All
Albania,2012,Financial Hardship,5.77,Percentage of population,Total,All
Albania,2012,Financial Hardship,16.14,Percentage of population,Total,All
Albania,2012,Financial Hardship,30.63,Percentage of population,Total,All
Albania,2012,Financial Hardship,10.63,Percentage of population,Total,All
Albania,2012,Financial Hardship,8.66,Percentage of population,Total,All
Albania,2012,Financial Hardship (Impoverishing),9.59,Percentage of population,Total,All
Albania,2012,Financial Hardship (Large Non-Impoverishing),8.15,Percentage of population,Total,All
Albania,2012,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,2.71,Percentage of population,Total,All
Albania,2012,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",6.88,Percentage of population,Total,All
Albania,2012,UHC Service Coverage Index,60,0-100 scale,Total,All
Albania,2012,UHC Service Coverage Index,34,0-100 scale,Total,All
Albania,2012,UHC Service Coverage Index,76,0-100 scale,Total,All
Albania,2012,UHC Service Coverage Index,96,0-100 scale,Total,All
Albania,2012,UHC Service Coverage Index,51,0-100 scale,Total,All
Albania,2013,UHC Service Coverage Index,61,0-100 scale,Total,All
Albania,2013,UHC Service Coverage Index,36,0-100 scale,Total,All
Albania,2013,UHC Service Coverage Index,75,0-100 scale,Total,All
Albania,2013,UHC Service Coverage Index,97,0-100 scale,Total,All
Albania,2013,UHC Service Coverage Index,52,0-100 scale,Total,All
Albania,2014,UHC Service Coverage Index,61,0-100 scale,Total,All
Albania,2014,UHC Service Coverage Index,38,0-100 scale,Total,All
Albania,2014,UHC Service Coverage Index,74,0-100 scale,Total,All
Albania,2014,UHC Service Coverage Index,97,0-100 scale,Total,All
Albania,2014,UHC Service Coverage Index,53,0-100 scale,Total,All
Albania,2015,UHC Service Coverage Index,62,0-100 scale,Total,All
Albania,2015,UHC Service Coverage Index,39,0-100 scale,Total,All
Albania,2015,UHC Service Coverage Index,73,0-100 scale,Total,All
Albania,2015,UHC Service Coverage Index,98,0-100 scale,Total,All
Albania,2015,UHC Service Coverage Index,53,0-100 scale,Total,All
Albania,2016,UHC Service Coverage Index,62,0-100 scale,Total,All
Albania,2016,UHC Service Coverage Index,40,0-100 scale,Total,All
Albania,2016,UHC Service Coverage Index,72,0-100 scale,Total,All
Albania,2016,UHC Service Coverage Index,98,0-100 scale,Total,All
Albania,2016,UHC Service Coverage Index,54,0-100 scale,Total,All
Albania,2017,Catastrophic Spending (More than 10% of household budget),8.85,Percentage of population,Total,All
Albania,2017,Catastrophic Spending (More than 25% of household budget),1.41,Percentage of population,Total,All
Albania,2017,Financial Hardship,44.03,Percentage of population,Total,Q1 (Poorest)
Albania,2017,Financial Hardship,21.36,Percentage of population,Total,Q2
Albania,2017,Financial Hardship,4.53,Percentage of population,Total,Q3
Albania,2017,Financial Hardship,3.11,Percentage of population,Total,Q4
Albania,2017,Financial Hardship,1.02,Percentage of population,Total,Q5 (Richest)
Albania,2017,Financial Hardship,14.82,Percentage of population,Total,All
Albania,2017,Financial Hardship (Impoverishing),10.93,Percentage of population,Total,All
Albania,2017,Financial Hardship (Large Non-Impoverishing),3.89,Percentage of population,Total,All
Albania,2017,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,1.6,Percentage of population,Total,All
Albania,2017,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",9.33,Percentage of population,Total,All
Albania,2017,UHC Service Coverage Index,64,0-100 scale,Total,All
Albania,2017,UHC Service Coverage Index,41,0-100 scale,Total,All
Albania,2017,UHC Service Coverage Index,75,0-100 scale,Total,All
Albania,2017,UHC Service Coverage Index,99,0-100 scale,Total,All
Albania,2017,UHC Service Coverage Index,54,0-100 scale,Total,All
Albania,2018,UHC Service Coverage Index,66,0-100 scale,Total,All
Albania,2018,UHC Service Coverage Index,42,0-100 scale,Total,All
Albania,2018,UHC Service Coverage Index,81,0-100 scale,Total,All
Albania,2018,UHC Service Coverage Index,99,0-100 scale,Total,All
Albania,2018,UHC Service Coverage Index,55,0-100 scale,Total,All
Albania,2019,UHC Service Coverage Index,67,0-100 scale,Total,All
Albania,2019,UHC Service Coverage Index,43,0-100 scale,Total,All
Albania,2019,UHC Service Coverage Index,85,0-100 scale,Total,All
Albania,2019,UHC Service Coverage Index,99,0-100 scale,Total,All
Albania,2019,UHC Service Coverage Index,55,0-100 scale,Total,All
Albania,2020,UHC Service Coverage Index,68,0-100 scale,Total,All
Albania,2020,UHC Service Coverage Index,44,0-100 scale,Total,All
Albania,2020,UHC Service Coverage Index,90,0-100 scale,Total,All
Albania,2020,UHC Service Coverage Index,99,0-100 scale,Total,All
Albania,2020,UHC Service Coverage Index,56,0-100 scale,Total,All
Albania,2021,UHC Service Coverage Index,69,0-100 scale,Total,All
Albania,2021,UHC Service Coverage Index,44,0-100 scale,Total,All
Albania,2021,UHC Service Coverage Index,91,0-100 scale,Total,All
